behavior_id,persistent_id,camera_id,behavior_type,severity,confidence,description,timestamp
14,7,CAM001,loitering,medium,0.65,loitering detected,2025-11-18 14:02:33.501454
13,4,CAM001,loitering,medium,0.59,loitering detected,2025-11-18 13:51:02.087140
12,7,CAM001,loitering,medium,0.63,loitering detected,2025-11-18 13:46:13.422764
11,7,CAM002,loitering,medium,0.54,loitering detected,2025-11-18 13:44:59.794145
10,2,CAM002,loitering,medium,0.61,loitering detected,2025-11-18 13:42:34.290438
9,2,CAM001,loitering,medium,0.54,loitering detected,2025-11-18 13:41:28.155074
8,4,CAM001,loitering,medium,0.75,loitering detected,2025-11-18 13:18:47.493593
7,3,CAM001,loitering,medium,0.55,loitering detected,2025-11-18 13:17:24.125107
6,7,CAM002,loitering,medium,0.59,loitering detected,2025-11-18 13:11:02.831681
5,1,CAM002,loitering,medium,0.55,loitering detected,2025-11-18 13:09:34.347696
4,6,CAM001,loitering,medium,0.57,loitering detected,2025-11-18 13:05:10.254172
3,8,CAM002,loitering,medium,0.51,loitering detected,2025-11-18 13:04:50.950575
2,9,CAM001,loitering,medium,0.92,loitering detected,2025-11-18 13:03:45.936862
1,3,CAM002,loitering,medium,0.96,loitering detected,2025-11-18 13:03:27.627819
