id,persistent_id,camera_id,track_id,confidence,frame_id,in_geo_fence,fence_id,fence_name,timestamp,bbox_x,bbox_y,bbox_width,bbox_height
15112,1,CAM001,12,0.8203202486038208,410,True,99111bba-74e8-4d76-9c2c-227990dda407,Zone 1,2025-11-10 18:13:15.109283,235.0,131.0,396.0,348.0
15111,6,CAM001,224,0.8749662637710571,14820,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:32.655798,251.0,139.0,392.0,341.0
15110,6,CAM001,224,0.870097279548645,14815,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:29.784624,240.0,138.0,396.0,342.0
15109,6,CAM001,224,0.7407481074333191,14810,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:28.554605,234.0,131.0,396.0,349.0
15108,6,CAM001,224,0.788292646408081,14805,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:27.277972,235.0,128.0,398.0,352.0
15107,6,CAM001,224,0.7605341672897339,14800,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:26.128862,234.0,127.0,398.0,353.0
15106,6,CAM001,224,0.7817066311836243,14795,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:24.880675,240.0,131.0,388.0,349.0
15105,6,CAM001,224,0.7977584600448608,14790,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:23.756450,243.0,128.0,386.0,352.0
15104,6,CAM001,224,0.8053065538406372,14785,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:22.706786,245.0,128.0,379.0,352.0
15103,6,CAM001,224,0.8036301136016846,14780,True,4cf6c32a-9164-424b-950e-2ca11f695664,Eastbound,2025-11-10 12:38:21.529227,259.0,128.0,362.0,352.0
