journey_id,persistent_id,first_seen,last_seen,total_duration_seconds,total_behaviors,time_in_fence_seconds,time_outside_fence_seconds,is_active,cameras_visited,behavior_types
3,8,2025-11-18 12:57:07.012803,2025-11-18 13:04:50.936399,463,1,114,0,False,"CAM002,CAM001",loitering
9,2,2025-11-18 12:57:07.015760,2025-11-18 13:42:34.271199,2727,2,555,0,False,"CAM002,CAM001",loitering
4,6,2025-11-18 12:57:07.018824,2025-11-18 13:05:10.241165,483,1,126,0,False,"CAM002,CAM001",loitering
8,4,2025-11-18 12:57:07.020750,2025-11-18 13:18:47.481592,1300,1,396,0,False,"CAM002,CAM001",loitering
11,4,2025-11-18 12:57:07.020750,2025-11-18 13:51:02.071884,3235,2,674,0,False,"CAM002,CAM001",loitering
1,3,2025-11-18 12:57:07.022340,2025-11-18 13:03:27.618309,380,1,134,0,False,"CAM002,CAM001",loitering
7,3,2025-11-18 12:57:07.022340,2025-11-18 13:17:24.106086,1217,2,319,0,False,"CAM002,CAM001",loitering
2,9,2025-11-18 12:57:07.555128,2025-11-18 13:03:45.922232,398,1,87,0,False,"CAM002,CAM001",loitering
6,7,2025-11-18 12:57:07.562647,2025-11-18 13:11:02.820170,835,1,198,0,False,"CAM002,CAM001",loitering
10,7,2025-11-18 12:57:07.562647,2025-11-18 13:46:13.402598,2945,3,571,0,False,"CAM002,CAM001",loitering
5,1,2025-11-18 12:57:07.567656,2025-11-18 13:09:34.340636,746,1,158,0,False,"CAM002,CAM001",loitering
