persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,loitering_count
5,CAM001,loitering,medium,0.575,2025-11-18T14:21:31.242216,2025-11-18T15:12:45.940292,2,2
3,CAM001,loitering,medium,0.725,2025-11-18T14:41:41.602087,2025-11-18T14:58:13.714969,2,2
9,CAM001,loitering,medium,0.705,2025-11-18T14:27:31.732617,2025-11-18T15:02:20.021062,2,2
8,CAM001,loitering,medium,0.65,2025-11-18T14:50:55.477877,2025-11-18T15:20:01.162349,2,2
6,CAM001,loitering,medium,0.595,2025-11-18T14:43:00.008208,2025-11-18T15:17:01.037220,2,2
1,CAM001,loitering,medium,0.68,2025-11-18T14:54:07.898958,2025-11-18T14:54:07.898958,1,1
2,CAM001,loitering,medium,0.55,2025-11-18T14:30:10.169157,2025-11-18T14:30:10.169157,1,1
4,CAM001,loitering,medium,0.65,2025-11-18T14:32:41.375266,2025-11-18T14:32:41.375266,1,1
7,CAM001,loitering,medium,0.65,2025-11-18T14:35:09.386725,2025-11-18T14:35:09.386725,1,1
10,CAM001,loitering,medium,0.78,2025-11-18T15:04:50.455064,2025-11-18T15:04:50.455064,1,1
