persistent_id,cameras_visited,track_id,avg_confidence,percent_time_in_fence,fence_ids_visited,fence_names_visited,total_detections,first_seen,last_seen,duration_seconds
3,CAM001,134,1.838,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,286,2026-01-28T10:14:59.989950,2026-01-28T10:46:43.604218,1903.614268
4,CAM001,165,1.812,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,239,2026-01-28T10:14:59.993952,2026-01-28T10:45:48.325852,1848.3319
7,CAM001,169,1.771,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,159,2026-01-28T10:14:59.995951,2026-01-28T10:46:38.300826,1898.304875
2,CAM001,169,1.85,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,227,2026-01-28T10:14:59.997949,2026-01-28T10:46:43.615720,1903.617771
6,CAM001,146,1.833,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,200,2026-01-28T10:14:59.998950,2026-01-28T10:46:31.886024,1891.887074
5,CAM001,146,1.864,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,289,2026-01-28T10:15:10.904368,2026-01-28T10:46:43.610719,1892.706351
1,CAM001,138,1.849,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,126,2026-01-28T10:15:52.515894,2026-01-28T10:40:42.927660,1490.411766
8,CAM001,163,1.832,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,198,2026-01-28T10:17:45.226159,2026-01-28T10:46:43.612720,1738.386561
9,CAM001,163,1.872,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,162,2026-01-28T10:19:29.312122,2026-01-28T10:46:31.888022,1622.5759
10,CAM001,141,1.942,100.0,58c867fb-332c-46d9-8b45-c0d3caad69df,Eastbound,146,2026-01-28T10:30:41.450702,2026-01-28T10:46:43.607203,962.156501
