persistent_id,cameras,behavior_types,max_severity,avg_confidence,first_behavior,last_behavior,total_behaviors,crowd_formation_count,running_count
2,CAM001,"crowd_formation,running",medium,0.737,2026-05-07T14:06:09.149645,2026-05-07T14:44:32.992573,6,3,3
7,CAM001,"crowd_formation,running",medium,0.818,2026-05-07T14:24:36.505561,2026-05-07T14:43:06.544435,6,4,2
1,CAM001,"crowd_formation,running",medium,0.752,2026-05-07T14:06:13.394684,2026-05-07T14:41:26.003515,5,2,3
3,CAM001,"crowd_formation,running",medium,0.702,2026-05-07T14:06:11.289411,2026-05-07T14:41:28.966799,5,2,3
5,CAM001,"crowd_formation,running",medium,0.73,2026-05-07T14:06:23.988959,2026-05-07T14:45:01.124477,4,1,3
4,CAM001,"crowd_formation,running",medium,0.753,2026-05-07T14:06:09.265882,2026-05-07T14:41:26.410052,4,1,3
6,CAM001,"crowd_formation,running",medium,0.772,2026-05-07T14:06:29.920993,2026-05-07T14:41:43.956927,4,1,3
8,CAM001,"crowd_formation,running",medium,0.807,2026-05-07T14:32:50.297771,2026-05-07T14:42:36.319682,3,1,2
9,CAM001,"crowd_formation,running",medium,0.697,2026-05-07T14:36:22.222306,2026-05-07T14:42:40.800992,3,1,2
10,CAM001,running,medium,1.0,2026-05-07T14:45:05.173413,2026-05-07T14:45:05.173413,1,0,1
